ALBUM,ID,AmSong,MOJO,Q,RoughT,UNCUT,SPIN,SGUM,RS,CPLEX,CoS,GvB,PASTE,NME,QUIETUS,NOISEY,NPR,POPMAT,FACT,PFORK,WIRE,,AVG,WT-AVG,CONS-SCORE,# Lists,Top 10s
Destroyer - Poison Season,139,,,,,36,24,,,,,,,,,,,,,43,,,34.33,11.44444444,68.9,3,0
Kehlani - You Should Be Here,206,,,,,,,,,12,,,,,,16,,,,,,,14.00,7,68.9,2,0
John Moreland - High on Tulsa Heat,6,6,,,,,,,,,,,,,,,,24,,,,,15.00,7.5,69,2,1
Matthew E. White - Fresh Blood,75,,28,,44,33,,,,,,,,,,,,,,,,,35.00,11.66666667,69,3,0
LoneLady - Hinterland,72,,38,23,,,,,,,,,,,45,,,,,,,,35.33,11.77777778,69.05,3,0
Majical Cloudz - Are You Alone?,160,,,,,,48,,,,47,,43,,,,,43,,,,,45.25,11.3125,69.05,4,0
SOPHIE - PRODUCT,168,,,,,,19,,,,,12,,,,,,,,,,,15.50,7.75,69.05,2,0
U.S. Girls - Half Free,243,,,,,,,,,,,11,,20,,,,,,,,,15.50,7.75,69.05,2,0
Thundercat - The Beyond / Where the Giants Roam,337,,,,,,,,,,,,,,,39,,,,24,43,,35.33,11.77777778,69.05,3,0
Django Django - Born Under Saturn,91,,,15,17,,,,,,,,,,,,,,,,,,16.00,8,69.1,2,0
Various Artists - Hamilton OST,187,,,,,,,,8,,,,,,,,25,,,,,,16.50,8.25,69.15,2,1
Jack Ü - Skrillex and Diplo Present Jack Ü,189,,,,,,,,16,17,,,,,,,,,,,,,16.50,8.25,69.15,2,0
Eartheater - RIP Chrysalis,250,,,,,,,,,,,25,,,,,,,10,,,,17.50,8.75,69.25,2,1
Maccabees - Marks to Prove It,99,,,27,,,,,,,,,,9,,,,,,,,,18.00,9,69.3,2,1
Muse - Drones,101,,,32,,,,,39,,,,,41,,,,,,,,,37.33,12.44444444,69.35,3,0
Laura Cannell - Beneath Swooping Talons,305,,,,,,,,,,,,,,20,,,,,,17,,18.50,9.25,69.35,2,0
