ALBUM,ID,genre,RoughT,MOJO,UNCUT,NME,CoS,RS,PASTE,SGUM,SKINNY,CRACK,AmSong,GvsB,NPR,CMPLX,QTUS,NOISEY,EW,FL,TRBLE,PMA,mOMH,POPMT,VRNCE,JJ,SPIN,BLBRD,P4K,FACT,WIRE,LINE,BLARE,TMT,INROX,Q,VF,WEISS,,AVG,WT-AVG,CONS-SCORE,# Lists,Top 10s
Yves Tumor - Serpent Music,547,electronic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,11,,,12,,,10.33,3.444444444,69.61111111,3,1
Autechre - elseq 1-5,454,IDM,,,,,,,,,,,,,,,,,,,,,43,31,,,,,,,4,,,33,,,,,,27.75,6.9375,69.75,4,1
Deftones - Gore,191,alternative metal,,,,,40,,,,,,,,,,,,,9,,,,,,,,,,,,,36,,,,27,,,28.00,7,69.77777778,4,1
Kyle Dixon & Michael Stein - Stranger Things,202,ambient,,,,,20,47,,,,,,12,,,,,,,,,,,,,,,,35,,,,,,,,,,28.50,7.125,69.83333333,4,0
Brian Eno - The Ship,41,ambient,41,,12,,,,,,,,,,,,25,,,,,,,,,,,,,,,,,,,37,,,,28.75,7.1875,69.86111111,4,0
Fat White Family - Songs for Our Mothers,79,garage rock,,31,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,40,38,,,,28.75,7.1875,69.86111111,4,1
The Weeknd - Starboy,353,r&b,,,,,,,,,,,,,,40,,,,,,,,,41,,,21,,,,,,,17,,,,,29.75,7.4375,69.97222222,4,0
"Underworld - Barbara Barbara, we face a shining future",367,progressive house,,,,,,,,,,,,,,,45,,,,,37,,10,,,,,,,,,,,,27,,,,29.75,7.4375,69.97222222,4,1
Wild Beasts - Boy King,47,art pop,47,,,47,,,,,31,,,,,,,,,,,,,,,,,,,,,46,,,,25,,,,39.20,7.84,70.02777778,5,0
Weyes Blood - Front Row Seat to Earth,324,psychedelic folk,,,,,,,,,,,,11,,,,,,,,,,,,,,,43,,,,48,,19,,,,,30.25,7.5625,70.02777778,4,0
Maxwell - blackSUMMERS'night,144,neo-soul,,,,,,40,,,,,,,,44,,,,,43,,,,,,38,,33,,,,,,,,,,,39.60,7.92,70.08333333,5,0
The Lemon Twigs - Do Hollywood,166,baroque pop,,,,44,,,,,,,,,,,,,,,,,50,,,,,,,,,,,,4,26,,,,31.00,7.75,70.11111111,4,1
Glass Animals - How to Be a Human Being,32,indietronica,32,,,35,,,,,36,,,,,,,,,,,,,,48,,,,,,,49,,,,,,,,40.00,8,70.13888889,5,0
The Body - No One Deserves Happiness,201,drone metal,,,,,23,,,,,,,,,,,,,,41,,,,,,,,,12,,,,,,,49,,,31.25,7.8125,70.13888889,4,0
Kano - Made in the Manor,181,grime,,,,15,,,,,,,,,,,,9,,,,,,,,,,,,,,27,,,,,,,,17.00,5.666666667,70.16666667,3,1
Cate Le Bon - Crab Day,89,art pop,,,26,,,,,,,,,,,,,,,,,,11,,,,,,,,,,,,,16,,,,17.67,5.888888889,70.22222222,3,0
Moor Mother - Fetish Bones,262,hip hop,,,,,,,,,35,,,,,,,,,,,,,,,,,,,,3,,,,,,15,,,17.67,5.888888889,70.22222222,3,1
