ALBUM,ID,genre,ALBM,ALTRNV,BPM,BLBRD,BKVEG,CLASH,CMPLX,COS,CRACK,DOUBJ,EXCLM,FADER,FAROUT,GIGWS,GDINTV,GMA,GVSB,GUARD,HOTPRS,KRNG,L&Q,LTW,METHAM,MOJO,MONDO,MSOMH,NME,NORIP,NORTH,NPR,OOR,PASTE,PICC,PFORK,POPMT,QTUS,RIFF,RS,RTRADE,SLANT,SPTNIK,SGUM,SUNTIM,TREBLE,UNCUT,UTR,WIRE,,AVG,WT-AVG,CONS SCORE,# Lists,Top 10s,#1s
Parkway Drive - Darker Still,881,metal,,,,,,,,,,,,,,,,,,,,18,,,40,,,,,,,,,,,,,,,,,,,,,,,,,,29.00,14.5,74.63829787,2,0,0
Caracara - New Preoccupations,612,rock,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48,,,,,,,,29.00,14.5,74.63829787,2,1,0
Foals - Life Is Yours,700,electronic,,,,,,,,,,,,,,,,,,,,,,,,,,,20,,,,,,39,,,,,,,,,,,,,,,,29.50,14.75,74.65957447,2,0,0
Big Joanie - Back Home,383,rock,,,,,,,,,,,,,,,,,,,,,,,,,,40,,,,,,,,,,19,,,,,,,,,,,,,29.50,14.75,74.65957447,2,0,0
The Lounge Society - Tired of Liberty,501,rock,,,,,,,,,,,,,,,50,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,30.00,15,74.68085106,2,1,0
Halestorm - Back From The Dead,722,rock,,,,,,,,,,,,,,,,,,,,21,,,,,,,,,,,,,,,,,39,,,,,,,,,,,,30.00,15,74.68085106,2,0,0
Show Me The Body - Trouble the Water,207,rock,,,,,,35,,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.00,15,74.68085106,2,0,0
The Interrupters - In The Wild,993,rock,,,,,,,,,,,,,,,,,,,,12,,,,,48,,,,,,,,,,,,,,,,,,,,,,,,30.00,15,74.68085106,2,0,0
Future - I NEVER LIKED YOU,161,hip hop,,,,29,,,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.50,15.25,74.70212766,2,0,0
Oso Oso - Sore Thumb,877,rock,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,,,,,,,,,,,,,,39,,,,,,,30.50,15.25,74.70212766,2,0,0
Los Bitchos - Let Thte Festivities Begin,444,folk,,,,,,,,,,,,,,14,,,,,,,,,,,,,,,,,,,48,,,,,,,,,,,,,,,,31.00,15.5,74.72340426,2,0,0
Demi Lovato - HOLY FVCK,144,rock,,,,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,,,,,,,,,,,,31.00,15.5,74.72340426,2,0,0
Undeath - It's Time...To Rise From the Grave,222,metal,,,,,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29,,,,,31.00,15.5,74.72340426,2,0,0
Brutus - Unison Life,602,rock,,,,,,,,,,,,,,,,,,,,46,,,,,16,,,,,,,,,,,,,,,,,,,,,,,,31.00,15.5,74.72340426,2,0,0
"GloRilla - Anyway, Life's Great",271,hip hop,,,,,,,28,,,,,,,,,,,,,,,,,,,,,,,34,,,,,,,,,,,,,,,,,,,31.00,15.5,74.72340426,2,0,0
"Rich Ruth - I Survived, It's Over",911,rock,,,,,,,,,,,,,,,,,,,,,,,,16,,,,,,,,,,,,,,,,,,,,,47,,,,31.50,15.75,74.74468085,2,0,0
Camila Cabello - Familia,607,pop,,,,,,,,,,,,,,,,27,,,,,,,,,,,,,,,,,,,,,,36,,,,,,,,,,,31.50,15.75,74.74468085,2,0,0
Sabrina Carpenter - emails i can't send,203,folk,,,,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44,,,,,,,,,,,31.50,15.75,74.74468085,2,0,0
Willow - ,1036,rock,,,,,,,,,,,,,,,,35,,,,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.50,15.75,74.74468085,2,0,0
Shamir - Heterosexuality,206,rock,,,,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,,,,,,,,,42,,,,,46.33,15.44444444,74.76595745,3,0,0
Maren Morris - Humble Quest,42,country,16,,,,,,,,,,,,,,,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.00,16,74.76595745,2,0,0
