ALBUM,ID,genre,ALBISM,CMPLX,CoS,MOJO,PASTE,QUIETUS,ROUGH,SGUM,TREBLE,UNCUT,UPROXX,WIRE,RS,P4K,BLBRD,CRACK,DBLJ,POPMAT,,,,,,,,,,,,,,,,AVG,WT-AVG,CONS SCORE,# Lists,Top 10s,#1s
Tanya Tucker - While I'm Livin',13,Country,13,,,,,,,,,,,,24,,,,,,,,,,,,,,,,,,,,,18.50,9.25,68.72222222,2,0,0
Mavis Staples - We Get By,39,Soul,39,,,39,,,,,,,,,,,,,34,,,,,,,,,,,,,,,,,37.33,12.44444444,68.72222222,3,0,0
2 Chainz - Rap or Go to the League,81,Trap Rap,,12,,,,,,,,,26,,,,,,,,,,,,,,,,,,,,,,,19.00,9.5,68.77777778,2,0,0
Bat For Lashes - Lost Girls,221,Synthpop,,,,,,,21,,45,,,,,,,49,,,,,,,,,,,,,,,,,,38.33,12.77777778,68.88888889,3,0,0
Tool - Fear Inoculum,121,Progressive Metal,,,10,,,,,,,,,,,,,,31,,,,,,,,,,,,,,,,,20.50,10.25,68.94444444,2,1,0
Stella Donnelly - Beware of the Dogs,113,Indie Folk,,,22,,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.50,10.75,69.05555556,2,0,0
Neil Young & Crazy Horse - Colorado,19,Country Rock,19,,,,,,,,,25,,,,,,,,,,,,,,,,,,,,,,,,22.00,11,69.11111111,2,0,0
Caterina Barbieri - Ecstatic Computation,200,Electronic,,,,,,3,,,,,,41,,,,,,,,,,,,,,,,,,,,,,22.00,11,69.11111111,2,1,0
Sampa The Great - The Return,372,Neo-Soul,,,,,,,,,,,,,,,,,1,43,,,,,,,,,,,,,,,,22.00,11,69.11111111,2,1,1
King Princess - Cheap Queen,117,Pop Soul,,,15,,,,,,,,30,,,,,,,,,,,,,,,,,,,,,,,22.50,11.25,69.16666667,2,0,0
Hot Chip - A Bath Full of Ecstasy,134,Synthpop,,,,31,,,,,,,,,,,,,,16,,,,,,,,,,,,,,,,23.50,11.75,69.27777778,2,0,0
Joan Shelley - Like The River Loves The Sea,154,Singer-Songwriter,,,,,43,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,24.50,12.25,69.38888889,2,1,0
Florist - Emily Alone,240,Indie Folk,,,,,,,,24,,,,,,27,,,,,,,,,,,,,,,,,,,,25.50,12.75,69.5,2,0,0
Madonna - Madame X,12,Pop,12,,,,,,,,,,,,,,46,,,,,,,,,,,,,,,,,,,29.00,14.5,69.88888889,2,0,0
Jordan Rakei - Origin,359,Alternative R&B,,,,,,,,,,,,,,,,,41,17,,,,,,,,,,,,,,,,29.00,14.5,69.88888889,2,0,0
Ari Lennox - Shea Butter Baby,71,Neo-Soul,,26,,,,,,,,,,,,,33,,,,,,,,,,,,,,,,,,,29.50,14.75,69.94444444,2,0,0
Jay Som - Anak Ko,105,Dream Pop,,,35,,,,,,25,,,,,,,,,,,,,,,,,,,,,,,,,30.00,15,70,2,0,0
Modern Nature - How To Live,128,Indie Folk,,,,43,,,,,,17,,,,,,,,,,,,,,,,,,,,,,,,30.00,15,70,2,0,0
Rhiannon Giddens - There Is No Other,265,Folk,,,,,,,,,,21,,,,,,,,42,,,,,,,,,,,,,,,,31.50,15.75,70.16666667,2,0,0
MIKE - tears of joy,250,Abstract Hip Hop,,,,,,,,,33,,,,,31,,,,,,,,,,,,,,,,,,,,32.00,16,70.22222222,2,0,0
The Murder Capital - When I Have Fears,215,Post-Punk,,,,,,,32,,,37,,,,,,,,,,,,,,,,,,,,,,,,34.50,17.25,70.5,2,0,0
Nérija - Blume,219,Jazz Fusion,,,,,,,23,,,47,,,,,,,,,,,,,,,,,,,,,,,,35.00,17.5,70.55555556,2,0,0
Brutus - Nest,233,Post-Hardcore,,,,,,,,41,30,,,,,,,,,,,,,,,,,,,,,,,,,35.50,17.75,70.61111111,2,0,0
Karen O & Danger Mouse - Lux Prima,211,Art Rock,,,,,,,38,,,,,,34,,,,,,,,,,,,,,,,,,,,,36.00,18,70.66666667,2,0,0
GoldLink - Diaspora,57,Hip House,,42,,,,,,,,,33,,,,,,,,,,,,,,,,,,,,,,,37.50,18.75,70.83333333,2,0,0
Hatchie - Keepsake,93,Dream Pop,,,48,,,,,,,,,,,,,,,27,,,,,,,,,,,,,,,,37.50,18.75,70.83333333,2,0,0
Hand Habits - placeholder,156,Singer-Songwriter,,,,,39,,,36,,,,,,,,,,,,,,,,,,,,,,,,,,37.50,18.75,70.83333333,2,0,0
Girl Band - The Talkies,231,Noise Rock,,,,,,,,48,,,,,,,,27,,,,,,,,,,,,,,,,,,37.50,18.75,70.83333333,2,0,0
Robert Forster - Inferno,133,Singer-Songwriter,,,,32,,,,,,44,,,,,,,,,,,,,,,,,,,,,,,,38.00,19,70.88888889,2,0,0
Raphael Saddiq - Jimmy Lee,2,Neo-Soul,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.00,2,70.94444444,1,1,0
Angel Bat Dawid - The Oracle,309,Jazz,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,2.00,2,70.94444444,1,1,0
The Chemical Brothers - No Geography,371,House,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,2.00,2,70.94444444,1,1,0
Dido - Still on My Mind,3,Downtempo,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.00,3,71,1,1,0
Maxo Kream - Brandon Banks,53,Trap Rap,,48,,,,,,,,,,,,,,30,,,,,,,,,,,,,,,,,,39.00,19.5,71,2,0,0
The Art Ensemble of Chicago - We Are on the Edge,308,Jazz,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,3.00,3,71,1,1,0
Sun Runners - Lust for Life,352,Vaporwave,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,3.00,3,71,1,1,0
William Doyle - Your Wilderness Revisited,199,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.00,4,71.05555556,1,1,0
The Teskey Brothers - Run Home Slow,370,Soul,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,4.00,4,71.05555556,1,1,0
These New Puritans - Inside the Rose,198,Art Pop,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.00,5,71.11111111,1,1,0
Philip Thomas - Morton Feldman Piano,307,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,5.00,5,71.11111111,1,1,0
Anthony Naples - Fog FM,351,Tech House,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,5.00,5,71.11111111,1,1,0
Klein - Lifetime,306,Industrial,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,6.00,6,71.16666667,1,1,0
Yola - Walk Through Fire,319,,,,,,,,,,,,,,48,,,,,33,,,,,,,,,,,,,,,,40.50,20.25,71.16666667,2,0,0
Young Nudy & Pi'erre Bourne - Sli'merre,86,Trap Rap,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.00,7,71.22222222,1,1,0
Kali Malone - The Sacrificial Code,305,Drone,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,7.00,7,71.22222222,1,1,0
