ALBUM,ID,NME,UNCUT,Q,MOJO,AmSong,RoughT,QUIETUS,STONE,PASTE,SGUM,GvsB,FASTER,AVClub,POPMAT,PMA,WIRE,NPR,SPIN,FACT,DRWND,CoS,AMG,SLANT,WEISS,TMT,PFORK,MAGNET,405,CRACK,UTR,COMPLX,FLVRW,WS,NOISEY,P&P,,AVG,WT-AVG,CONS-SCORE,# Lists,Top 10s,#1s
Chumped - Teenage Retirement,245,,,,,,,,,,24,,,,,,,,,,,,,,,,,,,,,,,22,,,,23.00,11.5,72.02857143,2,0,0
Mary J. Blige - The London Sessions,374,,,,,,,,,,,,,,,,,25,,,,,,,,,,,,,,,22,,,,,23.50,11.75,72.05714286,2,0,0
Sharon Jones & the Dap-Kings - Give the People What,150,,,,,,18,,,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.50,11.75,72.05714286,2,0,0
Ana Tijoux - Vengo,358,,,,,,,,,,,,,,,,,25,,,,,25,,,,,,,,,,,,,,,25.00,12.5,72.14285714,2,0,0
Fatima Al Qadiri - Asiatisch,325,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,40,,,,,,,,25.00,12.5,72.14285714,2,1,0
Lydia Loveless - Somewhere Else,308,,,,,,,,,,,,,,43,,,,,,,,,,,,,7,,,,,,,,,,25.00,12.5,72.14285714,2,1,0
Teyana Taylor - VII,384,,,,,,,,,,,,,,,,,25,,,,,25,,,,,,,,,,,,,,,25.00,12.5,72.14285714,2,0,0
Kasabian - 48:13,23,23,,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.50,12.75,72.17142857,2,0,0
Kelis - Food,280,,,,,,,,,,,,26,,,,,,,,,,25,,,,,,,,,,,,,,,25.50,12.75,72.17142857,2,0,0
Röyksopp & Robyn - Do It Again,317,,,,,,,,,,,,,,,41,,,,,,,,10,,,,,,,,,,,,,,25.50,12.75,72.17142857,2,1,0
Perfect Pussy - Say Yes to Love,44,44,,,,,,,,,,,,,,,,,,,,,,,,,37,,,46,,,,,,,,42.33,14.11111111,72.2,3,0,0
PUP - PUP,454,,,,,,,,,,,,,,,,,,,,,37,,,,,,,,,,,,,15,,,26.00,13,72.2,2,0,0
Thee Silver Mt. Zion Memorial Orchestra - Fuck Off...,319,,,,,,,,,,,,,,,45,,,,,,,,,,,,,,,,,7,,,,,26.00,13,72.2,2,1,0
TOPS - Picture You Staring,231,,,,,,,,,,48,4,,,,,,,,,,,,,,,,,,,,,,,,,,26.00,13,72.2,2,1,0
Hundred Waters - The Moon Rang Like a Bell,318,,,,,,,,,,,,,,,44,,,46,,,,,,,,38,,,,,,,,,,,42.67,14.22222222,72.22857143,3,0,0
Sicko Mob - Super Saiyan Vol. 1,394,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,,,,,44,,,,26.50,13.25,72.22857143,2,1,0
Kiasmos - Kiasmos,433,,,,,,,,,,,,,,,,,,,,33,,,,,,,,21,,,,,,,,,27.00,13.5,72.25714286,2,0,0
Ty Dolla $ign - Sign Language,385,,,,,,,,,,,,,,,,,25,,,,,,,,,,,,,,29,,,,,,27.00,13.5,72.25714286,2,0,0
Horrors - Luminous,85,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,40,,,,,,,27.50,13.75,72.28571429,2,0,0
Old Crow Medicine Show - Remedy,138,,,,,43,,,,,,,,,13,,,,,,,,,,,,,,,,,,,,,,,28.00,14,72.31428571,2,0,0
BADBADNOTGOOD - III,316,,,,,,,,,,,,,,,39,,,,,,,,,20,,,,,,,,,,,,,29.50,14.75,72.4,2,0,0
Call Super - Suzi Ecto,342,,,,,,,,,,,,,,,,30,,,,,,,,,29,,,,,,,,,,,,29.50,14.75,72.4,2,0,0
King Louie - Tony,545,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46,,,,13,,29.50,14.75,72.4,2,0,0
Migos - No Label 2,468,,,,,,,,,,,,,,,,,,,,,,,,19,,,,,,,42,,,,,,30.50,15.25,72.45714286,2,0,0
Yob - Clearing the Path to Ascend,199,,,,,,,,50,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,30.50,15.25,72.45714286,2,0,0
Homeboy Sandman - Hallways,389,,,,,,,,,,,,,,,,,,35,,,,,,,,,,27,,,,,,,,,31.00,15.5,72.48571429,2,0,0
Honeyblood - Honeyblood,45,45,,,,,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.00,15.5,72.48571429,2,0,0
Tom Petty & the Heartbreakers - Hypnotic Eye,133,,,,,36,,,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.00,15.5,72.48571429,2,0,0
Young Fathers - Dead,110,,,,47,,,,,,,,,,,,,,,,42,,,,,,,,,,,,,,,48,,45.67,15.22222222,72.48571429,3,0,0
Damien Jurado - Brothers and Sisters of the Eternal Son,306,,,,,,,,,,,,,,40,,,,,,,,,23,,,,,,,,,,,,,,31.50,15.75,72.51428571,2,0,0
Antlers - Familiars,314,,,,,,,,,,,,,,,26,,,,,38,,,,,,,,,,,,,,,,,32.00,16,72.54285714,2,0,0
Flight Facilities - Down to Earth,285,,,,,,,,,,,,35,,,,,,29,,,,,,,,,,,,,,,,,,,32.00,16,72.54285714,2,0,0
Sd Laika - That's Harakiri,409,,,,,,,,,,,,,,,,,,,37,,,,,,,,,,27,,,,,,,,32.00,16,72.54285714,2,0,0
Kane West - Western Beats,406,,,,,,,,,,,,,,,,,,,34,,,,,,31,,,,,,,,,,,,32.50,16.25,72.57142857,2,0,0
Amen Dunes - Love,477,,,,,,,,,,,,,,,,,,,,,,,,36,,,,,,,,,30,,,,33.00,16.5,72.6,2,0,0
Gangsta Boo & Beat King - Underground Cassette Tape,486,,,,,,,,,,,,,,,,,,,,,,,,46,,,,,,,21,,,,,,33.50,16.75,72.62857143,2,0,0
Jeezy - Seen It All: The Autobiography,554,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,,48,,,,33.50,16.75,72.62857143,2,0,0
Objekt - Flatland,178,,,,,,,30,,,,,,,,,,,,,,,,,,38,,,,,,,,,,,,34.00,17,72.65714286,2,0,0
Shellac - Dude Incredible,452,,,,,,,,,,,,,,,,,,,,,21,,,,,47,,,,,,,,,,,34.00,17,72.65714286,2,0,0
Benjamin Booker - Benjamin Booker,156,,,,,,32,,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.50,17.25,72.68571429,2,0,0
Men - Tomorrow's Hits,240,,,,,,,,,,36,,,,,,,,,,,34,,,,,,,,,,,,,,,,35.00,17.5,72.71428571,2,0,0
Damien Rice - My Favorite Faded Fantasy,220,,,,,,,,,45,,,,,,,,,,,,27,,,,,,,,,,,,,,,,36.00,18,72.77142857,2,0,0
"Hotelier - Home, Like No Place is There",563,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,47,,,,36.00,18,72.77142857,2,0,0
Cymbals Eat Guitars - LOSE,390,,,,,,,,,,,,,,,,,,37,,,,,,,,,,,,37,,,,,,,37.00,18.5,72.82857143,2,0,0
Moodymann - Moodymann,375,,,,,,,,,,,,,,,,,25,,,,,,,,,,,,49,,,,,,,,37.00,18.5,72.82857143,2,0,0
Body - I Shall Die Here,181,,,,,,,26,,,,,,,,,,,,,,,,,,49,,,,,,,,,,,,37.50,18.75,72.85714286,2,0,0
Twilight Sad - Nobody Wants to be Here...,422,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1.00,1,72.88571429,1,1,1
Bruce Springsteen - High Hopes,216,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.00,2,72.91428571,1,1,0
Dum Dum Girls - Too True,221,,,,,,,,,42,,,,,,,,,,,,,,,,,,,,,35,,,,,,,38.50,19.25,72.91428571,2,0,0
Justin Townes Earle - Single Mothers,128,,,,,29,,,,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.50,19.25,72.91428571,2,0,0
Open Mike Eagle - Dark Comedy,464,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,2.00,2,72.91428571,1,1,0
Richard Dawson - Nothing Important,323,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,2.00,2,72.91428571,1,1,0
Both - The Both,517,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,3.00,3,72.94285714,1,1,0
GFOTY - Secret Mix,514,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,3.00,3,72.94285714,1,1,0
Slackk - Palm Tree Fire,465,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,3.00,3,72.94285714,1,1,0
Taylor McFerrin - Early Riser,521,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,3.00,3,72.94285714,1,1,0
J. Cole - 2014 Forest Hills Drive,560,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,4.00,4,72.97142857,1,1,0
King Tuff - Black Moon Spell,230,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.00,4,72.97142857,1,1,0
Remi - Raw X Infinity,273,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,4.00,4,72.97142857,1,1,0
Viet Cong - Cassette,266,,,,,,,,,,,29,,,,,,,,,,,,,50,,,,,,,,,,,,,39.50,19.75,72.97142857,2,0,0
††† - †††,424,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,5.00,5,73,1,1,0
Burial - Rival Dealer,250,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,5.00,5,73,1,1,0
Kevin Drumm & Jason Lescalleet - The Abyss,513,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,5.00,5,73,1,1,0
Chet Faker - Built On Glass,274,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,6.00,6,73.02857143,1,1,0
Doss - Doss,251,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,6.00,6,73.02857143,1,1,0
Ian William Craig - A Turn of Breath,512,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,6.00,6,73.02857143,1,1,0
Menzingers - Rented World,572,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,6.00,6,73.02857143,1,1,0
Triptykon - Melana Chasmata,235,,,,,,,,,,42,,,,,,,,,,,,,,,,,,,,,,,39,,,,40.50,20.25,73.02857143,2,0,0
Dej Loaf - Sell Sole,573,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,7.00,7,73.05714286,1,1,0
Giant Claw - Dark Web,511,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,7.00,7,73.05714286,1,1,0
Julie Byrne - Rooms with Walls and Windows,96,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.00,7,73.05714286,1,1,0
Katie Gately - Pipes,197,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.00,7,73.05714286,1,1,0
Lewis - L'Amour,253,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,7.00,7,73.05714286,1,1,0
Lewis - Romantic Times,252,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,7.00,7,73.05714286,1,1,0
D/P/I - MN.ROY,510,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,8.00,8,73.08571429,1,1,0
Nux Vomica - Nux Vomica,247,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,8.00,8,73.08571429,1,1,0
Sam Hunt - Montevallo,574,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,8.00,8,73.08571429,1,1,0
Delines - Colfax,147,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.00,9,73.11428571,1,1,0
John Fulbright - Songs,117,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.00,9,73.11428571,1,1,0
Courtney Barnett - The Double EP,228,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.00,10,73.14285714,1,1,0
Lucki Eck$ - Body High,548,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41,,,,44,,42.50,21.25,73.14285714,2,0,0
Preatures - Blue Planet Eyes ,289,,,,,,,,,,,,41,,,,,,,,,44,,,,,,,,,,,,,,,,42.50,21.25,73.14285714,2,0,0
Shinichi Atobe - Butterfly Effect,395,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,10.00,10,73.14285714,1,1,0
Smith Street Band - Throw Me in the River,275,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,10.00,10,73.14285714,1,1,0
Betty Who - Take Me When You Go,386,,,,,,,,,,,,,,,,,,11,,,,,,,,,,,,,,,,,,,11.00,11,73.17142857,1,0,0
C L E A N E R S - Real Raga Shit Vol. 1,508,,,,,,,,,,,,,,,,,,,,,,,,,11,,,,,,,,,,,,11.00,11,73.17142857,1,0,0
Earth - Primitive and Deadly,326,,,,,,,,,,,,,,,,11,,,,,,,,,,,,,,,,,,,,,11.00,11,73.17142857,1,0,0
Julie Byrne - Rooms with Walls and Windows,524,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,,,,,,,,,11.00,11,73.17142857,1,0,0
Marianne Faithfull - Give My Love to London,119,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.00,11,73.17142857,1,0,0
DFA 1979 - The Physical World,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.00,12,73.2,1,0,0
Foo Fighters - Sonic Highways,214,,,,,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.00,12,73.2,1,0,0
Inga Copeland - Because I'm Worth It,507,,,,,,,,,,,,,,,,,,,,,,,,,12,,,,,,,,,,,,12.00,12,73.2,1,0,0
Kevin Gates - By Any Means,466,,,,,,,,,,,,,,,,,,,,,,,,12,,,,,,,,,,,,,12.00,12,73.2,1,0,0
Zamilska - Untune,194,,,,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.00,12,73.2,1,0,0
Blut Aus Nord - Memoria Vetusta III,575,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,,,13.00,13,73.22857143,1,0,0
E + E - The Light That You Gave Me to See You,506,,,,,,,,,,,,,,,,,,,,,,,,,13,,,,,,,,,,,,13.00,13,73.22857143,1,0,0
Fishing - Shy Glow,276,,,,,,,,,,,,13,,,,,,,,,,,,,,,,,,,,,,,,,13.00,13,73.22857143,1,0,0
Guided By Voices - Cool Planet,518,,,,,,,,,,,,,,,,,,,,,,,,,,,13,,,,,,,,,,13.00,13,73.22857143,1,0,0
Guided By Voices - Motivational Jumpsuit,519,,,,,,,,,,,,,,,,,,,,,,,,,,,13,,,,,,,,,,13.00,13,73.22857143,1,0,0
Innercity Ensemble - Black/White,193,,,,,,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.00,13,73.22857143,1,0,0
Mark Barrott - Sketches from an Island,255,,,,,,,,,,,13,,,,,,,,,,,,,,,,,,,,,,,,,,13.00,13,73.22857143,1,0,0
Bing & Ruth - Tomorrow Was the Golden Age,396,,,,,,,,,,,,,,,,,,,14,,,,,,,,,,,,,,,,,,14.00,14,73.25714286,1,0,0
Cooly G - Wait 'Til Night,192,,,,,,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.00,14,73.25714286,1,0,0
Hamilton Leithauser - Black Hours,84,,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.00,14,73.25714286,1,0,0
Lera Lynn - The Avenues,121,,,,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.00,14,73.25714286,1,0,0
Yumi Zouma - EP,256,,,,,,,,,,,14,,,,,,,,,,,,,,,,,,,,,,,,,,14.00,14,73.25714286,1,0,0
Blacknecks - 006,191,,,,,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.00,15,73.28571429,1,0,0
Chester Watson - Tin Wooki,467,,,,,,,,,,,,,,,,,,,,,,,,15,,,,,,,,,,,,,15.00,15,73.28571429,1,0,0
Conor Oberst - Upside Down Mountain,122,,,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.00,15,73.28571429,1,0,0
Eliane Radigue - Naldjorlak I II II,328,,,,,,,,,,,,,,,,15,,,,,,,,,,,,,,,,,,,,,15.00,15,73.28571429,1,0,0
English Heretic - The Underworld Service,190,,,,,,,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.00,16,73.31428571,1,0,0
Keaton Henson - Romantic Works,425,,,,,,,,,,,,,,,,,,,,16,,,,,,,,,,,,,,,,,16.00,16,73.31428571,1,0,0
Marc Baron - Hidden Tapes,329,,,,,,,,,,,,,,,,16,,,,,,,,,,,,,,,,,,,,,16.00,16,73.31428571,1,0,0
Parker Millsap - Parker Millsap,297,,,,,,,,,,,,,,16,,,,,,,,,,,,,,,,,,,,,,,16.00,16,73.31428571,1,0,0
Thug Entrancer - Death After Life,525,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,,,,,,,,,16.00,16,73.31428571,1,0,0
United Nations - The Next Four Years,576,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,,,16.00,16,73.31428571,1,0,0
Ana Caprix - For Seven Nights This Island is Ours,258,,,,,,,,,,,17,,,,,,,,,,,,,,,,,,,,,,,,,,17.00,17,73.34285714,1,0,0
Blake Mills - Heigh Ho,570,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,,,,,17.00,17,73.34285714,1,0,0
Felice Brothers - Favorite Waitress,123,,,,,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.00,17,73.34285714,1,0,0
Kevin Drumm & Jason Lescalleet - The Abyss,330,,,,,,,,,,,,,,,,17,,,,,,,,,,,,,,,,,,,,,17.00,17,73.34285714,1,0,0
Lil B - 05 Fuck Em,505,,,,,,,,,,,,,,,,,,,,,,,,,17,,,,,,,,,,,,17.00,17,73.34285714,1,0,0
Lucinda Williams - Down Where the Spirit Meets the Bone,65,,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.00,17,73.34285714,1,0,0
Riff Raff - Neon Icon,482,,,,,,,,,,,,,,,,,,,,,,,,42,,,,,,,50,,,,,,46.00,23,73.34285714,2,0,0
Winged Victory for the Sullen - Atomos,426,,,,,,,,,,,,,,,,,,,,17,,,,,,,,,,,,,,,,,17.00,17,73.34285714,1,0,0
A Sunny Day in Glasgow - Sea When Absent,312,,,,,,,,,,,,,,49,,,,,,,,,,,,44,,,,,,,,,,,46.50,23.25,73.37142857,2,0,0
Ital - Endgame,398,,,,,,,,,,,,,,,,,,,18,,,,,,,,,,,,,,,,,,18.00,18,73.37142857,1,0,0
Jeremih & Shlohmo - No More EP,555,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,,,,,,18.00,18,73.37142857,1,0,0
Mortuary Drape - Spiritual Independence,577,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,,,18.00,18,73.37142857,1,0,0
OAKE - Auferstehung,189,,,,,,,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.00,18,73.37142857,1,0,0
