ALBUM,ID,STONE,SPIN,PASTE,MOJO,QUIETUS,SGUM,Q,UNCUT,NME,GvsB,AmSong,AVClub,P&P,POPMAT,DRWND,MAGNET,NPR,COMPLX,PFORK,eMUSIC,FACT,WIRE,SLANT,TMT,,AVG,WT-AVG,CONS-SCORE,# Lists
AlunaGeorge - Body Music,187,,,,,,,39,,,,,,27,,,,,,,,,,,,,33.00,16.5,71.5,2
Billy Bragg - Tooth & Nail,117,,,,33,,,,,,,37,,,,,,,,,,,,,,,35.00,17.5,71.66666667,2
Dr. Dog - B-Room,100,,,50,,,,,,,,,,,,,21,,,,,,,,,,35.50,17.75,71.70833333,2
Johnny Marr - The Messenger,125,,,,44,,,,28,,,,,,,,,,,,,,,,,,36.00,18,71.75,2
Huerco S. - Colonial Patterns,381,,,,,,,,,,,,,,,,,,,,,31,,,42,,36.50,18.25,71.79166667,2
Franz Ferdinand - Right Thoughts Right Words Right Action,46,46,,,,,,28,,,,,,,,,,,,,,,,,,,37.00,18.5,71.83333333,2
The Dead C - Armed Courage,408,,,,,,,,,,,,,,,,,,,,,,32,,43,,37.50,18.75,71.875,2
Miley Cyrus - Bangerz,27,27,,,,,,,,,,,,,,,,,,,,49,,,,,38.00,19,71.91666667,2
Low - The Invisible Way,120,,,,36,,,,41,,,,,,,,,,,,,,,,,,38.50,19.25,71.95833333,2
Patty Griffin - American Kid,247,,,,,,,,,,,2,,,,,,,,,,,,,,,2.00,2,71.95833333,1
Goldfrapp - Tales of Us,124,,,,41,,,38,,,,,,,,,,,,,,,,,,,39.50,19.75,72.04166667,2
Guy Clark - My Favorite Picture of You,248,,,,,,,,,,,4,,,,,,,,,,,,,,,4.00,4,72.04166667,1
The Head and the Heart - Let's Be Still,270,,,,,,,,,,,44,,,35,,,,,,,,,,,,39.50,19.75,72.04166667,2
Galcher Lustwerk - 100% Galcher,366,,,,,,,,,,,,,,,,,,,,,4,,,,,4.00,4,72.04166667,1
Richard Dawson - The Glass Trunk,395,,,,,,,,,,,,,,,,,,,,,,4,,,,4.00,4,72.04166667,1
Youth Lagoon - Wondrous Bughouse,89,,,35,,,45,,,,,,,,,,,,,,,,,,,,40.00,20,72.08333333,2
The Lone Bellow - The Lone Bellow,97,,,47,,,,,,,,,,,33,,,,,,,,,,,,40.00,20,72.08333333,2
Fat White Family - Champagne Holocaust,130,,,,,5,,,,,,,,,,,,,,,,,,,,,5.00,5,72.08333333,1
Moonface - Julia With Blue Jeans On,162,,,,,46,,,,,,,,,,34,,,,,,,,,,,40.00,20,72.08333333,2
Ejecta - Dominae,218,,,,,,,,,,6,,,,,,,,,,,,,,,,6.00,6,72.125,1
Daughter - If You Leave,215,,,,,,,,,49,,,,,,33,,,,,,,,,,,41.00,20.5,72.16666667,2
Blue Hawaii - Untogether,219,,,,,,,,,,7,,,,,,,,,,,,,,,,7.00,7,72.16666667,1
Frisk Frugt - Dansktoppen Moden Burkina Faso,132,,,,,8,,,,,,,,,,,,,,,,,,,,,8.00,8,72.20833333,1
Bill Ryder-Jones - A Bad Wind Blows,179,,,,,,,8,,,,,,,,,,,,,,,,,,,8.00,8,72.20833333,1
DIANA - Perpetual Surrender,220,,,,,,,,,,8,,,,,,,,,,,,,,,,8.00,8,72.20833333,1
18+ - MIXTAP3,442,,,,,,,,,,,,,,,,,,,,,,,,8,,8.00,8,72.20833333,1
Pearl Jam - Lightning Bolt,40,40,,,,,,44,,,,,,,,,,,,,,,,,,,42.00,21,72.25,2
Frank Turner - Tape Deck Heart,98,,,48,,,,,,,,36,,,,,,,,,,,,,,,42.00,21,72.25,2
David Yow - Tonight You Look Like A Spider,308,,,,,,,,,,,,,,,,9,,,,,,,,,,9.00,9,72.25,1
DJ Rashad - Rollin',369,,,,,,,,,,,,,,,,,,,,,9,,,,,9.00,9,72.25,1
John Fogerty - Wrote A Song For Everyone,10,10,,,,,,,,,,,,,,,,,,,,,,,,,10.00,10,72.29166667,1
FKA Twigs - EP2,222,,,,,,,,,,10,,,,,,,,,,,,,,,,10.00,10,72.29166667,1
Sarah Jarosz - Build Me Up From Bones,249,,,,,,,,,,,10,,,,,,,,,,,,,,,10.00,10,72.29166667,1
Fall Out Boy - Save Rock And Roll,277,,,,,,,,,,,,10,,,,,,,,,,,,,,10.00,10,72.29166667,1
Childish Gambino - Because The Internet,336,,,,,,,,,,,,,,,,,,10,,,,,,,,10.00,10,72.29166667,1
Omar-S - Thank You For Letting Me Be Myself,370,,,,,,,,,,,,,,,,,,,,,10,,,,,10.00,10,72.29166667,1
Jake Bugg - Jake Bugg,12,12,,,,,,,,,,,,,,,,,,,,,,,,,12.00,12,72.375,1
Mac Miller - Watching Movies,337,,,,,,,,,,,,,,,,,,12,,,,,,,,12.00,12,72.375,1
Mohammad - Som Sakrifis,441,,,,,,,,,,,,,,,,,,,,,,,,12,,12.00,12,72.375,1
Steve Mason - Monkey Minds in the Devil's Time,181,,,,,,,13,,,,,,,,,,,,,,,,,,,13.00,13,72.41666667,1
The Strokes - Comedown Machine,190,,,,,,,47,,41,,,,,,,,,,,,,,,,,44.00,22,72.41666667,2
Drenge - Drenge,205,,,,,,,,,13,,,,,,,,,,,,,,,,,13.00,13,72.41666667,1
Emmylou Harris and Rodney Crowell - Old Yellow Moon,250,,,,,,,,,,,13,,,,,,,,,,,,,,,13.00,13,72.41666667,1
Sean McCann - Music for Private Ensemble,440,,,,,,,,,,,,,,,,,,,,,,,,13,,13.00,13,72.41666667,1
Jenny Hval - Innocence Is Kinky,306,,,,,,,,,,,,,,,49,,,,,,,,,40,,44.50,22.25,72.45833333,2
Guided By Voices - English Little League,309,,,,,,,,,,,,,,,,14,,,,,,,,,,14.00,14,72.45833333,1
Colleen - The Weighing of the Heart,371,,,,,,,,,,,,,,,,,,,,,14,,,,,14.00,14,72.45833333,1
Peace - In Love,206,,,,,,,,,15,,,,,,,,,,,,,,,,,15.00,15,72.5,1
V/A - After Dark 2,225,,,,,,,,,,15,,,,,,,,,,,,,,,,15.00,15,72.5,1
Avett Brothers - Magpie and the Dandelion,251,,,,,,,,,,,15,,,,,,,,,,,,,,,15.00,15,72.5,1
Locrian - Return To Annihilation,279,,,,,,,,,,,,15,,,,,,,,,,,,,,15.00,15,72.5,1
John Wizards - John Wizards,288,,,,,,,,,,,,,,15,,,,,,,,,,,,15.00,15,72.5,1
Polvo - Siberia,310,,,,,,,,,,,,,,,,15,,,,,,,,,,15.00,15,72.5,1
Torres - Torres,354,,,,,,,,,,,,,,,,,,,,15,,,,,,15.00,15,72.5,1
Rome Fortune - Beautiful Pimp,372,,,,,,,,,,,,,,,,,,,,,15,,,,,15.00,15,72.5,1
R. Andrew Lee - Dennis Johnson: November,399,,,,,,,,,,,,,,,,,,,,,,15,,,,15.00,15,72.5,1
D/P/I - Fresh Roses,439,,,,,,,,,,,,,,,,,,,,,,,,15,,15.00,15,72.5,1
Omar Souleyman - Wenu Wenu,56,,16,,,,,,,,,,,,,,,,,,,,,,,,16.00,16,72.54166667,1
Blixa Bargeld & Teho Teardo - Still Smiling,137,,,,,16,,,,,,,,,,,,,,,,,,,,,16.00,16,72.54166667,1
Thee Oh Sees - Floating Coffin,192,,,,,,,,16,,,,,,,,,,,,,,,,,,16.00,16,72.54166667,1
Postiljonen - Skyer,226,,,,,,,,,,16,,,,,,,,,,,,,,,,16.00,16,72.54166667,1
Dawes - Stories Don't End,252,,,,,,,,,,,16,,,,,,,,,,,,,,,16.00,16,72.54166667,1
Flume - Flume,283,,,,,,,,,,,,,16,,,,,,,,,,,,,16.00,16,72.54166667,1
Lucrecia Dalt - Syzygy,438,,,,,,,,,,,,,,,,,,,,,,,,16,,16.00,16,72.54166667,1
Milk Carton Kids - The Ash & Clay,253,,,,,,,,,,,17,,,,,,,,,,,,,,,17.00,17,72.58333333,1
