ALBUM,ID,genre,RTRADE,UNCUT,MOJO,PASTE,CoS,LINE,NPR,QUIETUS,SGUM,UPROXX,BILLBRD,COMPLX,CRACK,MSCOMH,NOISEY,PFORK,POPMAT,WIRE,NME,SPIN,RS,405,ALTERN,BLARE,EARBUD,FACT,GIITV,Q,TMT,TREBLE,VINFAC,GUARD,,AVG,WT-AVG,CONS SCORE,# Lists,Top 10s,#1s
Insecure Men - Insecure Men,94,Indie Rock,,,34,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,18.50,9.25,71.46875,2,1,0
Kelly Moran - Ultraviolet,129,Post-Minimalism,,,,40,,,,,,,,,,,,,41,,,33,,,,,,,,,,,,,,38.00,12.66666667,71.53125,3,0,0
The Armed - Only Love,247,Noise Rock,,,,,,,,,31,,,,,,8,,,,,,,,,,,,,,,,,,,19.50,9.75,71.53125,2,1,0
Nils Frahm - All Melody,13,Ambient,13,,,,,,,,,,,,,27,,,,,,,,,,,,,,,,,,,,20.00,10,71.5625,2,0,0
Sarah Davachi - Let Night Come on Bells End The Day,366,Drone,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,34,,,,,20.00,10,71.5625,2,1,0
Denzel Curry - TA1300,160,Hip Hop,,,,,45,,,,44,,,29,,,,,,,,,,,,,,,,,,,,,,39.33,13.11111111,71.65625,3,0,0
Everything is Recorded - Everything is Recorded By Richard Russell,2,Alternative R&B,2,,,,,,,,,,,,,,,,,,,,,,,,,,,43,,,,,,22.50,11.25,71.71875,2,1,0
Erland Cooper - Solan Goose,221,Ambient,,,,,,,,25,,,,,,20,,,,,,,,,,,,,,,,,,,,22.50,11.25,71.71875,2,0,0
Emma Ruth Rundle - On Dark Horses,460,Dream Pop,,,,,,,,,,,,,,,,,,,,,,,,38,,,,,,7,,,,22.50,11.25,71.71875,2,1,0
Lily Allen - No Shame,43,Electropop,43,,,,38,,,,,,,,,,,,,,,,,,,,,,,,,,,40,,40.33,13.44444444,71.75,3,0,0
Gaz Coombes - World's Strongest Man,90,Indie Rock,,,17,,,,,,,,,,,,,,,,,,,,,,,,,29,,,,,,23.00,11.5,71.75,2,0,0
Aphex Twin - Collapse EP,150,IDM,,,,,31,,,,,,,,,,,,,,,,,,,,15,,,,,,,,,23.00,11.5,71.75,2,0,0
Ry Cooder - The Prodigal Son,60,Americana,,14,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.50,11.75,71.78125,2,0,0
Melody's Echo Chamber - Bon Voyage,81,Neo-Psychedelia,,42,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,23.50,11.75,71.78125,2,1,0
Nine Inch Nails - Bad Witch,413,Experimental Rock,,,,,,,,,,,,,,,,,,,,,39,,,,,,,,,8,,,,23.50,11.75,71.78125,2,1,0
Guttersnipe - My Mother The Vent,235,Noise Rock,,,,,,,,44,,,,,,,,,,4,,,,,,,,,,,,,,,,24.00,12,71.8125,2,1,0
Aidan Moffat & RM Hubbert - Here Lies The Body,228,Singer-Songwriter,,,,,,,,33,,,,,,,,,,,,,,,,,,,16,,,,,,,24.50,12.25,71.84375,2,0,0
Elysia Crampton - Elysia Crampton,351,Electronic,,,,,,,,,,,,,,,,,44,,,,,,,,,,,,6,,,,,25.00,12.5,71.875,2,1,0
Leon Vynehall - Nothing Is Still,15,Downtempo,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36,,,25.50,12.75,71.90625,2,0,0
David Byrne - American Utopia,180,Art Pop,,,,,,50,,,,,,,,,,,,,44,,32,,,,,,,,,,,,,42.00,14,71.90625,3,0,0
Anna von Hausswolff - Dead Magic,318,Darkwave,,,,,,,,,,,,,,29,,,,,,,,,,,,,,,,22,,,,25.50,12.75,71.90625,2,0,0
Natalie Prass - The Future and the Past,322,Pop Soul,,,,,,,,,,,,,,36,,,,,,,,,,,,,,,,,,15,,25.50,12.75,71.90625,2,0,0
Eiko Ishibashi - The Dream My Bones Dream,385,Ambient Pop,,,,,,,,,,,,,,,,,,32,,,,,,,,,,,,,19,,,25.50,12.75,71.90625,2,0,0
Richard Thompson - 13 Rivers,58,Folk Rock,,11,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.00,13,71.9375,2,0,0
Pigs Pigs Pigs Pigs Pigs Pigs Pigs - King of Cowards,307,Heavy Psych,,,,,,,,,,,,,29,24,,,,,,,,,,,,,,,,,,,,26.50,13.25,71.96875,2,0,0
Anderson .Paak - Oxnard,295,Neo-Soul,,,,,,,,,,,,44,,,,,,,,,,,,10,,,,,,,,,,27.00,13.5,72,2,1,0
Daniel Avery - Song For Alpha,28,Ambient Techno,28,,,,,,,,,,,,,,,,,,,,,,,,,,,27,,,,,,27.50,13.75,72.03125,2,0,0
Gouge Away - Burnt Sugar,444,Post-Hardcore,,,,,,,,,,,,,,,,,,,,,,,29,26,,,,,,,,,,27.50,13.75,72.03125,2,0,0
illuminati hotties - Kiss Yr Frenemies,242,Indie Rock,,,,,,,,,19,,,,,,,,,,,,,,37,,,,,,,,,,,28.00,14,72.0625,2,0,0
Hermit and the Recluse - Orpheus vs. the Sirens,417,Hip Hop,,,,,,,,,,,,,,,,,,,,,,13,,,,,,,43,,,,,28.00,14,72.0625,2,0,0
Architects - Holy Hell,457,Metalcore,,,,,,,,,,,,,,,,,,,,,,,,19,,,37,,,,,,,28.00,14,72.0625,2,0,0
Fiddlehead - Springtime and Blind,459,Post-Hardcore,,,,,,,,,,,,,,,,,,,,,,,,35,21,,,,,,,,,28.00,14,72.0625,2,0,0
Gia Margaret - There's Always Glimmer,165,Indie Folk,,,,,,10,,,,,,,,,,,,,,,,,,47,,,,,,,,,,28.50,14.25,72.09375,2,1,0
Mick Jenkins - Pieces of a Man,258,Hip Hop,,,,,,,,,,28,,,,,,,,,,,,,,29,,,,,,,,,,28.50,14.25,72.09375,2,0,0
Shinichi Atobe - Heat,301,House,,,,,,,,,,,,,15,,,,,,,,,,,,,,,,,,42,,,28.50,14.25,72.09375,2,0,0
Octavian - SPACEMAN,333,Trap Rap,,,,,,,,,,,,,,,29,,,,,,,,,28,,,,,,,,,,28.50,14.25,72.09375,2,0,0
Half Waif - Lavender,241,Synthpop,,,,,,,,,17,,,,,,,,,,,,,41,,,,,,,,,,,,29.00,14.5,72.125,2,0,0
Drug Church - Cheer,254,Hardcore Punk,,,,,,,,,48,,,,,,,,,,,,,,10,,,,,,,,,,,29.00,14.5,72.125,2,1,0
Gunna & Lil Baby - Drip Harder,253,Trap Rap,,,,,,,,,47,,,12,,,,,,,,,,,,,,,,,,,,,,29.50,14.75,72.15625,2,0,0
City Girls - PERIOD,332,Trap Rap,,,,,,,,,,,,,,,28,,,,,,,,,,,31,,,,,,,,29.50,14.75,72.15625,2,0,0
Jean Grae & Quelle Chris - Everything's Fine,377,Hip Hop,,,,,,,,,,,,,,,,,,24,,,,,,,,,,,,35,,,,29.50,14.75,72.15625,2,0,0
Chris Carter - Chris Carter's Chemistry Lessons Vol. 1,100,Electronic,,,43,,,,,17,,,,,,,,,,,,,,,,,,,,,,,,,,30.00,15,72.1875,2,0,0
Gaye Su Akyol - istikrarli Hayal Hakikattir,390,Alternative Rock,,,,,,,,,,,,,,,,,,45,,,,17,,,,,,,,,,,,31.00,15.5,72.25,2,0,0
Gas - Rausch,536,Ambient Techno,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46,16,,,,31.00,15.5,72.25,2,0,0
Birds In Row - We Already Lost The World,250,Post-Hardcore,,,,,,,,,37,,,,,,,,,,,,,,,27,,,,,,,,,,32.00,16,72.3125,2,0,0
Dirty Projectors - Lamp Lit Prose,70,Art Pop,,28,,,,,,,,,,,,37,,,,,,,,,,,,,,,,,,,,32.50,16.25,72.34375,2,0,0
Petal - Magic Gone,449,Singer-Songwriter,,,,,,,,,,,,,,,,,,,,,,,40,25,,,,,,,,,,32.50,16.25,72.34375,2,0,0
The Orielles - Silver Dollar Moment,16,Dream Pop,16,,,,,,,,,,,,,,,,,,,,,,,,,,,50,,,,,,33.00,16.5,72.375,2,0,0
Years & Years - Palo Santo,174,Electropop,,,,,,34,,,,,,,,,,,,,33,,,,,,,,,,,,,,,33.50,16.75,72.40625,2,0,0
DJ Healer - Nothing 2 Loose,337,Deep House,,,,,,,,,,,,,,,38,,,,,,,,,,,,,,29,,,,,33.50,16.75,72.40625,2,0,0
Bill Ryder-Jones - Yawn,503,Singer-Songwriter,,,,,,,,,,,,,,,,,,,,,,,,,,,29,38,,,,,,33.50,16.75,72.40625,2,0,0
Confidence Man - Confident Music For Confident People,36,Alternative Dance,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,,34.00,17,72.4375,2,0,0
I'm With Her - See You Around,124,Americana,,,,35,,,,,,,,,,,,,33,,,,,,,,,,,,,,,,,34.00,17,72.4375,2,0,0
Makaya McCraven - Universal Beings,190,Jazz,,,,,,,30,,,,,,,,,,,,,38,,,,,,,,,,,,,,34.00,17,72.4375,2,0,0
Empress Of - Us,290,Electropop,,,,,,,,,,,,38,,,,,,,,,,,,,30,,,,,,,,,34.00,17,72.4375,2,0,0
Gabe Gurnsey - Physical,33,Electronic,33,,,,,,,36,,,,,,,,,,,,,,,,,,,,,,,,,,34.50,17.25,72.46875,2,0,0
Go-Kart Mozart - Mozart's Mini-Mart,74,Indie Pop,,35,,,,,,,,,,,,,,,,,,,,,,,,,,34,,,,,,34.50,17.25,72.46875,2,0,0
Jack White - Boarding House Reach,65,Blues Rock,,20,,,,,,,,,,,,,,,,,50,,,,,,,,,,,,,,,35.00,17.5,72.5,2,0,0
Freddie Gibbs - Freddie,342,Hip Hop,,,,,,,,,,,,,,,48,,,,,,,,,22,,,,,,,,,,35.00,17.5,72.5,2,0,0
Connan Mockasin - Jassbusters,39,Soft Rock,39,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.00,18,72.5625,2,0,0
Turnstile - Time & Space,399,Hardcore Punk,,,,,,,,,,,,,,,,,,,35,,,,,37,,,,,,,,,,36.00,18,72.5625,2,0,0
Laura Veirs - The Lookout,86,Indie Folk,,48,,,,,,,,,,,,25,,,,,,,,,,,,,,,,,,,,36.50,18.25,72.59375,2,0,0
The HIRS Collective - Friends. Lovers. Favorites.,198,Indie Rock,,,,,,,40,,,,,,,,33,,,,,,,,,,,,,,,,,,,36.50,18.25,72.59375,2,0,0
Nothing - Dance on the Blacktop,334,Shoegaze,,,,,,,,,,,,,,,32,,,,,,,,42,,,,,,,,,,,37.00,18.5,72.625,2,0,0
Idris Ackamoor & The Pyramids - An Angel Fell,207,Jazz,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,2.00,2,72.71875,1,1,0
ZULI - Terminal,364,Glitch Hop,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,2.00,2,72.71875,1,1,0
The Lemon Twigs - Go To School,75,Pop Rock,,36,,,,,,,,,,,,,,,,,,,,,,,42,,,,,,,,,39.00,19.5,72.75,2,0,0
SOB X RBE - Gangin,348,Hip Hop,,,,,,,,,,,,,,,,50,,,,28,,,,,,,,,,,,,,39.00,19.5,72.75,2,0,0
Lolina - The Smoke,517,Art Pop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,3.00,3,72.75,1,1,0
Just Friends - Nothing But Love,430,Indie,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,4.00,4,72.78125,1,1,0
Barker - Debiasing,476,Minimal Techno,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,4.00,4,72.78125,1,1,0
Charli XCX - Pop 2,518,Electropop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,4.00,4,72.78125,1,1,0
Fatima - And Yet It's All Love,543,Neo-Soul,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,4.00,4,72.78125,1,1,0
Objekt - Cocoon Crush,208,IDM,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,5.00,5,72.8125,1,1,0
Retirement Party - Somewhat Literate,431,Indie Rock,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,5.00,5,72.8125,1,1,0
V/A - We Out Here,544,Jazz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,5.00,5,72.8125,1,1,0
Daniel Blumberg - Minus,6,Indie Rock,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.00,6,72.84375,1,1,0
ILL - We Are ILL,209,Art Punk,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,6.00,6,72.84375,1,1,0
George FitzGerald - All That Must Be,352,Deep House,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,6.00,6,72.84375,1,1,0
Kississippi - Sunset Blush,432,Indie Rock,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,6.00,6,72.84375,1,1,0
MNEK - Language,274,Dance Pop,,,,,,,,,,,41,,,41,,,,,,,,,,,,,,,,,,,,41.00,20.5,72.875,2,0,0
Mark Peters - Innerland,8,Electronic,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.00,8,72.90625,1,1,0
Beak> - >>>,55,Neo-Psychedelia,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.00,8,72.90625,1,1,0
Nines - Crop Circle,299,Hip Hop,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,8.00,8,72.90625,1,1,0
Sheck Wes - MUDBOY,345,Trap Rap,,,,,,,,,,,,,,,,33,,,,,,,,,,,,,50,,,,,41.50,20.75,72.90625,2,0,0
Autechre - NTS Sessions 1-4,367,IDM,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,8.00,8,72.90625,1,1,0
Kadhja Bonet - Childqueen,416,Psychedelic Soul,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,8.00,8,72.90625,1,1,0
Haiku Salut - There is No Elsewhere,499,Folktronica,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,8.00,8,72.90625,1,1,0
Hookworms - Microshift,73,Neo-Psychedelia,,34,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.00,21,72.9375,2,0,0
Jeff Tweedy - WARM,157,Singer-Songwriter,,,,,40,,,,,,,,,,,,,,,,44,,,,,,,,,,,,,42.00,21,72.9375,2,0,0
Audiobooks - Now! (in a minute),210,Indie,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,9.00,9,72.9375,1,1,0
Body/Head - The Switch,368,Noise Rock,,,,,,,,,,,,,,,,,,9,,,,,,,,,,,,,,,,9.00,9,72.9375,1,1,0
Sidney Gish - No Dogs Allowed,433,Indie Pop,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,,9.00,9,72.9375,1,1,0
Arabrot - Who Do You Love,211,Noise Rock,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,10.00,10,72.96875,1,1,0
American Pleasure Club - A Whole Fucking Lifetime of This,326,Lo-Fi,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,10.00,10,72.96875,1,1,0
Maribou State - Kingdoms in Colour,355,Electronic,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,10.00,10,72.96875,1,1,0
Cloud Nothings - Last Building Burning,464,Indie Rock,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,10.00,10,72.96875,1,1,0
Duppy Gun - Miro Tape,478,Reggae,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,10.00,10,72.96875,1,1,0
Shygirl - Cruel Practice,519,UK Bass,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,10.00,10,72.96875,1,1,0
Helena Hauff - Qualm,311,Electro,,,,,,,,,,,,,44,,,,,42,,,,,,,,,,,,,,,,43.00,21.5,73,2,0,0
Jerusalem In My Heart - Daqa'iq Tudaiq,369,Avant-Folk,,,,,,,,,,,,,,,,,,11,,,,,,,,,,,,,,,,11.00,11,73,1,0,0
War on Women - Capture the Flag,465,Punk,,,,,,,,,,,,,,,,,,,,,,,,,11,,,,,,,,,11.00,11,73,1,0,0
LSDXOXO - Body Mods,479,Electronic,,,,,,,,,,,,,,,,,,,,,,,,,,11,,,,,,,,11.00,11,73,1,0,0
John Coltrane - Both Directions at Once: The Lost Album,177,Jazz,,,,,,43,,,,,,,,,,,,,,,,,,,,,,,,44,,,,43.50,21.75,73.03125,2,0,0
Hen Ogledd - Mogic,212,Art Pop,,,,,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,12.00,12,73.03125,1,0,0
Jlin - Autobiography,314,Footwork,,,,,,,,,,,,,48,,,,,39,,,,,,,,,,,,,,,,43.50,21.75,73.03125,2,0,0
Amyl & The Sniffers - Big Attraction/Giddy Up,14,Garage Punk,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.00,14,73.09375,1,0,0
700 Bliss - Spa 700,204,Hip Hop,,,,,,,47,42,,,,,,,,,,,,,,,,,,,,,,,,,,44.50,22.25,73.09375,2,0,0
Ray BLK - Empress,357,Neo-Soul,,,,,,,,,,,,,,,,,14,,,,,,,,,,,,,,,,,14.00,14,73.09375,1,0,0
Proc Fiskal - Insula,371,Grime,,,,,,,,,,,,,,,,,,14,,,,,,,,,,,,,,,,14.00,14,73.09375,1,0,0
Debit - Animus,480,Electronic,,,,,,,,,,,,,,,,,,,,,,,,,,14,,,,,,,,14.00,14,73.09375,1,0,0
Manic Street Preachers - Resistance Is Futile,41,Alternative Rock,41,,,,,,,,,,,,,,,,,,,,,,,,,,,49,,,,,,45.00,22.5,73.125,2,0,0
The Decemberists - I'll Be Your Girl,110,Indie Pop,,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.00,15,73.125,1,0,0
Ashley McBryde - Girl Going Nowhere,133,Country,,,,48,,,,,,,,,,,,,,,,,42,,,,,,,,,,,,,45.00,22.5,73.125,2,0,0
Magos Herrera & Brooklyn Rider - Dreamers,183,Jazz,,,,,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,15.00,15,73.125,1,0,0
mewithoutYou - [Untitled],434,Indie Rock,,,,,,,,,,,,,,,,,,,,,,,15,,,,,,,,,,,15.00,15,73.125,1,0,0
Bamba Pana - Poaa,520,Electronic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,,,,,15.00,15,73.125,1,0,0
Cypress Hill - Elephants on Acid,89,Hip Hop,,,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.00,16,73.15625,1,0,0
Tropical Fuck Storm - A Laughing Death in Meatspace,214,Art Punk,,,,,,,,16,,,,,,,,,,,,,,,,,,,,,,,,,,16.00,16,73.15625,1,0,0
Black Dresses - WASTEISOLATION,327,Noise Pop,,,,,,,,,,,,,,,16,,,,,,,,,,,,,,,,,,,16.00,16,73.15625,1,0,0
Tyshawn Sorey - Pillars,372,Jazz,,,,,,,,,,,,,,,,,,16,,,,,,,,,,,,,,,,16.00,16,73.15625,1,0,0
The Spirit of the Beehive - Hypnic Jerks,435,Indie Rock,,,,,,,,,,,,,,,,,,,,,,,16,,,,,,,,,,,16.00,16,73.15625,1,0,0
Death Grips - Year of the Snitch,466,Hip Hop,,,,,,,,,,,,,,,,,,,,,,,,,16,,,,,,,,,16.00,16,73.15625,1,0,0
Mastersystem - Dance Music,17,Indie Rock,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.00,17,73.1875,1,0,0
"Curren$y, Freddie Gibbs & The Alchemist - Fetti",282,Hip Hop,,,,,,,,,,,,17,,,,,,,,,,,,,,,,,,,,,,17.00,17,73.1875,1,0,0
Lea Bertucci - Metal Aether,373,Post-Minimalism,,,,,,,,,,,,,,,,,,17,,,,,,,,,,,,,,,,17.00,17,73.1875,1,0,0
Animal Flag - Void Ripper,436,Alternative Rock,,,,,,,,,,,,,,,,,,,,,,,17,,,,,,,,,,,17.00,17,73.1875,1,0,0
Neville Watson - The Midnight Orchard,481,Electronic,,,,,,,,,,,,,,,,,,,,,,,,,,17,,,,,,,,17.00,17,73.1875,1,0,0
Black Peaks - All That Divides,500,Progressive Rock,,,,,,,,,,,,,,,,,,,,,,,,,,,17,,,,,,,17.00,17,73.1875,1,0,0
Barrio Sur - बड़ा शोक (heart break),521,Hypnagogic Pop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,,,,,17.00,17,73.1875,1,0,0
Kikagaku Moyo - Masana Temples,545,Psychedelic Rock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,,,17.00,17,73.1875,1,0,0
Hawthonn - Red Goddess (Of This Men Shall Know Nothing),215,Indie,,,,,,,,18,,,,,,,,,,,,,,,,,,,,,,,,,,18.00,18,73.21875,1,0,0
Moses Boyd - Displaced Diaspora,302,Jazz,,,,,,,,,,,,,18,,,,,,,,,,,,,,,,,,,,,18.00,18,73.21875,1,0,0
Rival Consoles - Persona,358,Microhouse,,,,,,,,,,,,,,,,,18,,,,,,,,,,,,,,,,,18.00,18,73.21875,1,0,0
The Sidekicks - Happiness Hours,437,Indie Rock,,,,,,,,,,,,,,,,,,,,,,,18,,,,,,,,,,,18.00,18,73.21875,1,0,0
Farao - Pure-O,512,Electropop,,,,,,,,,,,,,,,,,,,,,,,,,,,47,,,,46,,,46.50,23.25,73.21875,2,0,0
LUMP - LUMP,19,Indie Folk,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.00,19,73.25,1,0,0
Cowboy Junkies - All That Reckoning,64,Slowcore,,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.00,19,73.25,1,0,0
Tove Styrke - Sway,178,Electropop,,,,,,46,,,,,,,,48,,,,,,,,,,,,,,,,,,,,47.00,23.5,73.25,2,0,0
The Dirty Nil - Master Volume,328,Alternative Rock,,,,,,,,,,,,,,,19,,,,,,,,,,,,,,,,,,,19.00,19,73.25,1,0,0
St. Paul & The Broken Bones - Young Sick Camellia,361,Soul,,,,,,,,,,,,,,,,,19,,,,,,,,,,,,,,,,,19.00,19,73.25,1,0,0
Black Milk - FEVER,418,Hip Hop,,,,,,,,,,,,,,,,,,,,,,19,,,,,,,,,,,,19.00,19,73.25,1,0,0
"Now, Now - Saved",438,Indie Pop,,,,,,,,,,,,,,,,,,,,,,,19,,,,,,,,,,,19.00,19,73.25,1,0,0
Renick Bell - Turning Points,482,Electronic,,,,,,,,,,,,,,,,,,,,,,,,,,19,,,,,,,,19.00,19,73.25,1,0,0
John Carpenter - Halloween OST,143,Dark Ambient,,,,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.00,20,73.28125,1,0,0
Jeremy Dutcher - Wolastoqiyik Lintuwakonawa,185,Modern Classical,,,,,,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,20.00,20,73.28125,1,0,0
V/A - Kulør 001,303,Electronic,,,,,,,,,,,,,20,,,,,,,,,,,,,,,,,,,,,20.00,20,73.28125,1,0,0
Lil Baby - Harder Than Ever,329,Trap Rap,,,,,,,,,,,,,,,20,,,,,,,,,,,,,,,,,,,20.00,20,73.28125,1,0,0
Tangents - New Bodies,362,Jazz Fusion,,,,,,,,,,,,,,,,,20,,,,,,,,,,,,,,,,,20.00,20,73.28125,1,0,0
Nordra - Pylon II,374,Electronic,,,,,,,,,,,,,,,,,,20,,,,,,,,,,,,,,,,20.00,20,73.28125,1,0,0
Slaves - Acts of Fear and Love,395,Indie,,,,,,,,,,,,,,,,,,,20,,,,,,,,,,,,,,,20.00,20,73.28125,1,0,0
Møl - JORD,419,Blackgaze,,,,,,,,,,,,,,,,,,,,,,20,,,,,,,,,,,,20.00,20,73.28125,1,0,0
Death Cab For Cutie - Thank You For Today,439,Indie Pop,,,,,,,,,,,,,,,,,,,,,,,20,,,,,,,,,,,20.00,20,73.28125,1,0,0
Pianos Become The Teeth - Wait for Love,458,Emo,,,,,,,,,,,,,,,,,,,,,,,,20,,,,,,,,,,20.00,20,73.28125,1,0,0
Tribulation - Down Below,538,Gothic Metal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,,,,20.00,20,73.28125,1,0,0
Panopticon - The Scars of Man on the Once Nameless...,217,Black Metal,,,,,,,,21,,,,,,,,,,,,,,,,,,,,,,,,,,21.00,21,73.3125,1,0,0
Johnny Marr - Call The Comet,316,Indie Rock,,,,,,,,,,,,,,21,,,,,,,,,,,,,,,,,,,,21.00,21,73.3125,1,0,0
Sarah Davachi - Gave In Rest,483,Drone,,,,,,,,,,,,,,,,,,,,,,,,,,21,,,,,,,,21.00,21,73.3125,1,0,0
Sumac - Love in Shadow,539,Sludge Metal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,,,,21.00,21,73.3125,1,0,0
North Sea Dialect - Local Guide,546,Electronic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,,,21.00,21,73.3125,1,0,0
Big Red Machine - Big Red Machine,114,Art Pop,,,,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.00,22,73.34375,1,0,0
Rolo Tomassi - Time Will Die and Love Will Bury It,243,Mathcore,,,,,,,,,22,,,,,,,,,,,,,,,,,,,,,,,,,22.00,22,73.34375,1,0,0
Smino - Noir,283,Alternative R&B,,,,,,,,,,,,22,,,,,,,,,,,,,,,,,,,,,,22.00,22,73.34375,1,0,0
Chris Corsano & Bill Orcutt - Brace Up!,375,Experimental,,,,,,,,,,,,,,,,,,22,,,,,,,,,,,,,,,,22.00,22,73.34375,1,0,0
Pool Kids - Music to Practice Safe Sex To,441,Electronic,,,,,,,,,,,,,,,,,,,,,,,22,,,,,,,,,,,22.00,22,73.34375,1,0,0
