ALBUM,MOJO,UNCUT,RGHTRD,EXCLM,CNSQE,PASTE,ROLSTN,SGUM,QTUS,STILL,NORIP,FADER,NME,ALTNVE,BPM,BBRD,BVEG,CLASH,CMPLX,CRACK,DBLJ,FLOOD,KRNG,LINE,LTW,MONDO,mOMH,NT,P4K,POPMT,SLANT,TRBLE,WIRE,HOTP,GRDN,LESIN,EARMK,SPTNK,,,,,,,,,AVG,WT-AVG,CONS SCORE,# Lists,Top 10s,#1s
Merce Lemon - Watch Me Drive Them Dogs Wild,,,,,,41,,,,,35,,,,,,,,,,,32,,41,,,,,,,,,,,,,,,,,,,,,,,37.25,9.3125,71.02631579,4,0,0
Ekko Astral - pink balloons,,,,,,,,,,,,,,7,,,30,,,,,38,,,,,,,,,,,,,,,,,,,,,,,,,25.00,8.333333333,71.05263158,3,1,0
Charli xcx - Brat and it's completely different but also still brat,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1.00,0.5,71.10526316,2,2,2
Dua Lipa - Radical Optimism,,,,,,,,,,,,,,,,27,,,,,,,,,,,42,,,49,40,,,,,,,,,,,,,,,,39.50,9.875,71.26315789,4,0,0
Moin - You Never End,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,5.00,2.5,71.31578947,2,2,0
Naima Bock - Below a Massive Dark Land,,,,45,,,,,,11,,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.33,9.444444444,71.31578947,3,0,0
Kamasi Washington - Fearless Movement,44,,,,,,,,,,,,,,,,,,,,,,,,,47,,26,,,,,,,,,,45,,,,,,,,,40.50,10.125,71.36842105,4,0,0
Bob Vylan - Humble as the Sun,,,,,,,,,,,,,,,,,,44,,,,,12,,,,33,,,,,,,,,,,,,,,,,,,,29.67,9.888888889,71.42105263,3,0,0
Jawnino - 40,,,,,,,,,,,,,,,,,,8,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,7.50,3.75,71.44736842,2,2,0
Half Waif - See You at the Maypole,,,,,,,,,,,,,,4,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.50,4.25,71.5,2,1,0
Mount Kimbie - The Sunset Violent,,,43,,,,,,,,24,,,,,,,,,28,,,,,,,,,,,,,,,,,,,,,,,,,,,31.67,10.55555556,71.57894737,3,0,0
