name,slug,org,country,homepage_url,homepage_blurb,tags,hidden,standard_score,exact_crossings,artist_crossings
SomaFM Deep Space One (128k MP3),somafm-deep-space-one-128k-mp3,,The United States Of America,https://somafm.com/deepspaceone/,"Deep ambient electronic, experimental and space music. For inner and outer space exploration.","[""ambient"",""electronic"",""space""]",f,,,
SomaFM Doomed (256k MP3),somafm-doomed-256k-mp3,,The United States Of America,https://somafm.com/doomed/,Where every day is Halloween: Dark industrial/ambient music for tortured souls.,"[""ambient"",""dark"",""industrial""]",f,,,
SomaFM Secret Agent (128k MP3),somafm-secret-agent-128k-mp3,,The United States Of America,https://somafm.com/secretagent/,"The soundtrack for your stylish, mysterious, dangerous life. For Spies and PIs too!","[""ambient"",""downtempo"",""jazz"",""lounge"",""samba"",""sixties""]",f,,,
SomaFM Synphaera Radio,somafm-synphaera-radio,,The United States Of America,https://somafm.com/synphaera,Featuring the music from an independent record label focused on modern electronic ambient and space music.,"[""ambient"",""electronic"",""space""]",f,,,
SomaFM Underground 80s (128k MP3),somafm-underground-80s-128k-mp3,,The United States Of America,https://somafm.com/u80s/,Early 80s UK Synthpop and a bit of New Wave.,"[""80s"",""new wave"",""uk synthpop""]",t,,,
SomaFM Underground 80s (256k MP3),somafm-underground-80s-256k-mp3,,The United States Of America,https://somafm.com/u80s/,Early 80s UK Synthpop and a bit of New Wave.,"[""80s"",""new wave"",""uk synthpop""]",t,,,
SomaFM n5MD (128k AAC),somafm-n5md-128k-aac,,The United States Of America,https://somafm.com/n5md/,"Emotional Experiments in Music: Ambient, modern composition, post-rock, & experimental electronic music","[""ambient"",""experimental"",""experimental electronic music"",""modern composition"",""post-rock""]",f,,,
The Lot Radio,the-lot-radio,The Lot Radio,US,https://www.thelotradio.com,THE LOT RADIO,"[""indie"",""specialist""]",f,,,
The Tube | NTS,the-tube-nts,,The United Kingdom Of Great Britain And Northern Ireland,https://www.nts.live/infinite-mixtapes/the-tube,"Oddball post-punk, industrial provocation, and minimal wave.","[""avant-garde"",""industrial"",""minimal wave"",""post-punk""]",f,,,
Total instrumental,total-instrumental,,Germany,http://www.radio-total-instrumental.de/,,"[""ambient"",""dance"",""electronic"",""instrumental""]",f,,,
